G02-12_300, H２４_積雪（寒候期）１Kmメッシュ
P19-12_100, H２４_地域資源
G08-15_100, H２７_低位地帯
S01-60M_100, S６０_小売全体従業者数１Kmメッシュ
S01-60M_200, S６０_小売全体商店数１Kmメッシュ
S01-60M_300, S６０_小売全体売場面積１Kmメッシュ
S03-57M_100, S５７_工業全体事業所数１Kmメッシュ
S03-57M_200, S５７_工業全体従業者数１Kmメッシュ
S12-17_100, H２９_駅別乗降客数
S12-16_100, H２８_駅別乗降客数
S12-15_100, H２７_駅別乗降客数
S12-14_100, H２６_駅別乗降客数
S12-13_100, H２５_駅別乗降客数
A03-03_100, H１５_三大都市圏計画区域（首都圏）
A03-03_200, H１５_三大都市圏計画区域（中部圏）
A03-03_300, H１５_三大都市圏計画区域（近畿圏）
A16-15_100, H２７_人口集中地区
A16-05_100, H２２_人口集中地区
A16-05_100, H１７_人口集中地区
A16-00_100, H１２_人口集中地区
A16-95_100, H７_人口集中地区
A16-90_100, H２_人口集中地区
A17-17_100, H２９_過疎地域
A17-16_100, H２８_過疎地域
A17-070402_100, H１９_過疎地域
A17-051001_100, H１７_過疎地域
A18-16_100, H２８_過疎地域
A18s-a-10_100, H２２_過疎地域
A18-070402_100, H１９_過疎地域
A18-051001_100, H１７_過疎地域
A37-15_100, H２７_半島循環道路
A19-17_100, H２９_離島振興対策実施地域
A19s-a-10_100, H２２_離島振興対策実施地域
A19-070402_100, H１９_離島振興対策実施地域
A20-070402_100, H１９_奄美群島
A20-051001_100, H１７_奄美群島
A21-070402_100, H１９_小笠原諸島
A21-051001_100, H１７_小笠原諸島
A09-11_100, H２３_都市地域
A09-06_100, H１８_都市地域
A09-11_200, H２３_市街化区域
A09-06_200, H１８_市街化区域
A09-11_300, H２３_市街化調整区域
A09-06_300, H１８_市街化調整区域
A09-11_400, H２３_その他用途地域
A09-06_400, H１８_その他用途地域
A12-15_100, H２７_農業地域
A12-06_100, H１８_農業地域
A12-15_200, H２７_農用地区域
